"RowID","MonksWoodID","GutID","Species","Score"
503,8795,1,"1",1
504,8795,1,"2",4
505,8795,1,"6",5
506,8795,1,"20",1
507,8795,1,"16",1
508,8630,2,"29",1
509,8630,2,"5",1
510,8630,2,"28",1
511,8630,2,"8",2
512,8630,2,"20",2
514,8813,3,"17",3
515,8813,3,"19",5
516,5287,4,"2",14
517,5287,4,"19",37
518,5324,5,"17",1
519,5324,5,"8",1
520,5315,6,"17",1
521,5315,6,"6",1
522,5318,7,"2",3
523,5318,7,"6",1
525,5319,8,"2",1
526,5319,8,"8",2
527,5346,9,"29",1
528,5346,9,"4",1
529,5346,9,"8",1
531,5417,10,"19",3
532,5476,11,"5",1
533,5476,11,"4",1
534,5530,12,"2",1
535,5530,12,"3",1
536,5530,12,"6",2
537,5530,12,"19",9
538,5532,13,"2",9
539,5532,13,"3",4
540,5532,13,"19",22
541,5555,14,"5",1
542,5555,14,"2",1
543,5802,15,"4",1
544,5802,15,"8",1
546,5810,16,"8",1
548,5821,17,"5",1
549,5821,17,"4",1
550,5821,17,"21",1
551,5828,18,"4",1
552,5828,18,"8",1
553,5828,18,"16",1
555,5921,19,"2",20
556,5921,19,"28",2
557,5921,19,"8",1
559,5991,20,"4",1
561,6197,21,"4",1
562,6197,21,"8",1
563,6197,21,"16",1
564,6869,22,"29",1
565,6869,22,"5",1
566,6869,22,"4",1
567,6869,22,"16",1
568,7339,23,"17",1
569,7521,24,"4",14
570,7521,24,"2",1
571,7521,24,"6",2
572,7521,24,"8",1
574,7523,25,"29",1
575,7523,25,"8",1
577,7761,26,"5",1
578,7768,27,"7",1
579,7768,27,"4",1
580,7768,27,"8",1
581,7707,28,"17",1
582,7707,28,"5",1
583,7770,30,"2",6
584,7770,30,"28",2
585,7770,30,"8",1
586,7770,30,"20",3
587,7836,31,"29",1
588,7836,31,"6",5
589,7836,31,"8",2
590,7951,32,"7",1
591,7951,32,"4",1
592,7951,32,"8",1
593,8667,33,"29",1
594,8667,33,"8",2
596,7616,34,"17",1
597,7616,34,"4",1
598,7616,34,"6",1
599,7616,34,"8",1
600,7615,35,"17",2
601,6294,36,"2",4
602,6294,36,"8",2
604,6729,37,"2",1
605,6729,37,"8",1
607,7524,38,"8",2
609,7762,39,"5",1
610,7960,40,"6",1
611,7960,40,"8",1
613,8073,41,"4",1
614,8073,41,"8",1
616,6182,42,"6",1
617,6182,42,"8",1
619,8284,43,"8",4
620,8624,44,"5",1
621,8624,44,"4",1
622,8624,44,"8",1
623,6795,45,"8",1
625,7655,47,"2",2
626,7655,47,"8",1
627,7655,47,"20",1
628,6800,48,"8",1
630,6054,49,"29",1
631,6054,49,"8",2
632,6796,50,"17",1
633,6801,51,"29",1
634,7487,52,"5",1
635,8066,53,"17",1
636,7683,54,"26",1
637,7683,54,"4",1
638,7683,54,"8",1
640,7691,55,"17",1
641,7691,55,"8",1
642,7711,56,"29",1
643,7711,56,"8",2
644,6104,57,"29",1
645,7674,58,"29",1
646,7674,58,"2",1
647,7674,58,"3",1
648,7674,58,"8",1
649,7912,59,"7",1
650,7912,59,"4",1
651,7912,59,"8",1
652,8180,60,"5",1
653,8180,60,"4",1
654,6122,61,"4",1
655,6122,61,"8",1
657,6834,62,"17",1
658,6846,63,"29",1
659,7611,64,"8",1
660,7611,64,"20",4
662,7612,65,"17",1
663,7612,65,"5",1
664,7874,66,"5",1
665,7937,67,"17",1
666,7937,67,"8",1
667,8047,68,"29",1
668,8392,69,"5",1
669,6160,70,"7",2
670,6160,70,"2",1
671,6725,71,"4",1
672,6725,71,"8",1
674,6847,72,"7",1
675,6847,72,"8",1
676,6848,73,"7",1
677,6848,73,"4",1
678,6848,73,"8",1
679,7614,74,"1",1
680,7873,75,"5",1
681,7926,76,"4",1
682,7926,76,"8",1
684,7939,77,"5",1
685,7939,77,"4",1
686,7941,78,"4",1
687,7941,78,"8",1
689,7771,79,"29",1
690,7771,79,"4",1
691,7771,79,"6",2
692,7771,79,"28",1
693,7771,79,"8",1
694,6015,80,"29",1
695,6016,81,"29",1
696,6014,82,"29",1
697,6850,83,"17",1
698,6850,83,"5",1
699,6877,84,"5",1
700,7342,85,"2",2
701,7342,85,"8",1
702,7537,86,"4",1
703,7537,86,"8",1
705,7538,87,"26",1
706,7538,87,"5",1
707,7538,87,"4",1
708,7617,88,"26",1
709,7617,88,"2",1
710,7772,89,"5",1
711,7772,89,"2",1
712,7772,89,"6",18
713,7772,89,"8",1
714,8065,90,"5",1
715,8668,91,"4",1
716,8668,91,"6",5
717,8668,91,"8",1
718,6018,92,"17",1
719,7545,93,"17",1
720,7545,93,"5",1
721,7545,93,"4",1
722,7545,93,"8",1
723,8356,94,"4",1
724,8356,94,"8",1
725,8356,94,"16",1
726,7791,95,"29",1
727,7791,95,"5",1
728,8314,96,"5",1
729,8727,97,"5",1
730,6381,98,"26",1
731,6381,98,"4",1
732,6381,98,"28",1
733,6381,98,"8",1
734,7106,99,"4",1
736,7592,100,"8",2
737,7740,101,"2",17
738,7740,101,"8",1
739,7831,102,"2",4
740,7831,102,"28",1
741,8709,103,"5",1
742,8709,103,"2",4
743,8710,104,"2",1
745,8712,105,"2",6
746,8713,106,"2",10
747,6387,107,"29",2
748,6999,108,"5",1
749,6384,109,"29",1
750,6384,109,"26",1
751,7050,110,"2",1
753,7559,111,"5",1
754,7983,112,"22",1
755,8068,113,"29",1
756,8068,113,"2",1
757,8068,113,"6",25
758,8074,114,"17",2
759,8074,114,"5",2
760,8397,115,"5",1
761,8319,116,"29",1
762,8319,116,"5",2
763,5922,117,"2",1
764,5922,117,"8",1
766,6401,118,"2",3
767,6401,118,"8",1
769,6404,119,"2",4
770,6404,119,"19",1
771,6404,119,"28",1
772,7248,120,"2",1
773,7248,120,"6",1
774,7248,120,"28",1
775,7248,120,"8",1
777,7369,121,"17",1
778,7369,121,"5",1
779,7984,122,"26",1
780,8723,123,"2",27
781,8723,123,"8",1
782,8748,124,"2",1
783,8748,124,"8",1
785,8754,125,"5",1
786,6412,126,"8",1
787,6412,126,"20",1
789,7340,127,"2",3
790,7340,127,"6",1
791,7340,127,"19",7
792,7567,128,"5",1
793,7567,128,"4",1
794,7817,129,"17",1
795,7817,129,"6",5
796,7817,129,"28",1
797,8426,130,"5",1
798,8350,131,"17",1
799,8350,131,"3",2
800,8350,131,"19",1
801,8735,132,"26",1
802,8735,132,"2",1
803,8736,133,"17",1
804,8736,133,"5",1
805,8736,133,"2",1
806,8756,134,"6",21
807,5929,135,"2",5
808,5929,135,"28",1
809,5929,135,"8",1
811,7579,136,"17",1
812,7579,136,"5",1
813,8381,137,"5",1
814,8359,138,"4",1
815,8359,138,"6",9
816,8359,138,"19",1
817,7250,139,"17",1
818,7280,140,"5",1
819,7280,140,"2",1
820,7280,140,"8",1
822,7284,141,"2",6
824,7577,142,"3",24
825,7577,142,"19",8
826,7577,142,"23",1
827,7842,143,"4",1
828,7842,143,"6",3
829,7842,143,"28",1
830,7842,143,"8",1
831,8380,144,"4",1
832,8380,144,"6",43
833,8771,145,"2",14
834,8803,146,"2",1
835,8803,146,"8",1
836,6033,147,"2",1
837,6033,147,"6",2
838,6033,147,"8",1
840,6716,148,"2",1
841,6716,148,"8",1
843,7361,149,"2",11
844,7361,149,"8",1
846,7400,150,"25",2
847,7590,151,"2",2
848,7590,151,"9",1
849,7590,151,"28",21
850,7596,152,"2",1
851,7596,152,"9",1
852,7596,152,"8",1
854,8042,153,"2",1
855,8042,153,"8",1
857,8394,154,"2",1
858,8394,154,"6",2
859,8394,154,"8",1
861,6061,155,"2",1
862,6061,155,"8",1
864,7360,156,"2",2
865,7360,156,"19",2
866,7360,156,"8",1
868,7365,157,"8",1
870,7594,158,"6",1
871,7594,158,"19",8
872,7594,158,"8",1
874,7608,159,"15",1
875,7608,159,"6",2
876,7608,159,"19",7
877,7638,160,"26",1
878,7638,160,"2",1
879,7855,161,"5",2
880,7856,162,"5",1
881,7857,163,"17",1
882,7870,164,"13",1
883,7870,164,"19",1
884,7881,165,"5",1
885,7881,165,"2",1
886,7872,166,"29",1
887,7872,166,"8",1
889,8036,167,"5",1
890,8042,168,"2",1
891,8042,168,"3",3
892,8042,168,"8",1
893,6038,169,"26",1
894,6723,170,"5",1
895,6742,171,"29",1
896,6742,171,"4",1
897,6742,171,"8",1
899,6745,172,"4",1
900,6745,172,"6",1
901,6745,172,"8",1
903,6844,173,"17",1
904,7376,174,"17",1
905,7449,175,"19",1
906,7449,175,"8",1
907,7449,175,"20",1
909,7450,176,"2",1
910,7450,176,"28",1
912,7597,177,"6",4
913,7597,177,"8",1
915,7601,178,"25",1
916,7601,178,"2",1
917,7601,178,"19",1
918,7601,178,"8",1
920,7603,179,"2",1
921,7603,179,"19",1
922,7603,179,"8",1
924,7865,180,"4",1
925,7865,180,"8",1
926,7866,181,"2",1
927,7866,181,"8",1
928,8139,182,"28",1
929,8139,182,"8",1
931,6721,183,"17",1
932,6721,183,"26",1
933,6722,184,"7",2
934,6724,185,"4",1
935,6724,185,"8",1
937,6749,186,"29",1
938,6843,187,"15",1
939,7621,188,"5",1
940,7622,189,"5",1
941,7622,189,"2",1
942,7622,189,"3",1
943,7622,189,"9",6
944,7622,189,"8",1
945,7622,189,"16",1
946,8864,190,"17",1
947,8848,191,"2",1
948,8848,191,"6",24
949,8848,191,"19",5
950,8848,191,"8",1
951,6046,192,"4",1
953,6049,193,"2",1
954,6049,193,"9",2
955,6049,193,"8",1
957,7631,194,"5",1
958,7888,195,"8",1
960,7893,196,"5",1
961,7893,196,"8",1
962,7901,197,"7",1
963,8423,198,"17",1
964,8423,198,"5",1
965,8423,198,"2",1
966,8423,198,"8",1
967,7892,199,"5",1
968,7899,200,"29",1
969,7899,200,"5",1
970,5927,201,"5",1
971,5927,201,"2",2
972,5927,201,"9",1
974,5928,202,"29",1
975,5928,202,"5",1
976,5928,202,"3",1
978,5995,203,"17",1
979,5996,204,"17",2
980,5961,205,"17",1
981,5961,205,"2",1
982,5961,205,"6",2
983,5961,205,"20",1
984,7816,206,"29",1
985,7816,206,"5",1
986,7885,207,"29",1
987,7885,207,"4",1
988,7885,207,"6",1
989,7961,208,"5",1
990,7966,209,"5",1
991,7966,209,"8",1
992,8338,210,"29",1
993,8338,210,"2",5
994,8338,210,"28",1
995,7662,211,"5",1
996,7481,212,"5",1
997,7481,212,"4",1
998,7481,212,"8",1
999,8045,213,"4",1
1000,8045,213,"6",1
1001,8045,213,"8",1
1002,6688,214,"6",1
