"RowID","TrapNightID","Species","Count"
4351,1,"3",10
4352,2,"7",4
4353,3,"3",12
4354,4,"3",10
4355,4,"7",2
4356,5,"3",10
4357,6,"3",25
4358,6,"4",1
4359,6,"7",2
4360,7,"3",13
4361,7,"4",2
4362,7,"7",6
4363,7,"8",1
4364,8,"3",20
4365,8,"4",1
4366,8,"7",5
4367,9,"3",10
4368,9,"4",1
4369,9,"7",5
4370,9,"8",1
4371,10,"3",17
4372,10,"7",3
4373,11,"3",17
4374,11,"7",3
4375,12,"3",12
4376,12,"7",3
4377,13,"3",31
4378,13,"4",4
4379,13,"7",1
4380,14,"3",8
4381,14,"4",1
4382,14,"7",2
4383,14,"8",1
4384,15,"3",23
4385,15,"7",1
4386,16,"3",2
4387,16,"4",5
4388,16,"7",3
4389,17,"3",7
4390,17,"4",1
4391,17,"7",6
4392,18,"3",15
4393,18,"7",2
4394,18,"8",1
4395,19,"3",13
4396,19,"4",1
4397,19,"1",1
4398,19,"7",13
4399,19,"8",2
4400,20,"3",6
4401,20,"7",4
4402,20,"8",1
4403,21,"3",5
4404,22,"3",30
4405,22,"4",1
4406,22,"7",4
4407,23,"3",3
4408,23,"4",2
4409,23,"7",7
4410,24,"3",4
4411,24,"7",2
4412,24,"8",1
4413,25,"3",9
4414,25,"7",6
4415,25,"10",1
4416,26,"3",4
4417,26,"4",2
4418,26,"7",2
4419,26,"5",1
4420,26,"10",1
4421,27,"3",12
4422,27,"7",3
4423,28,"3",10
4424,28,"4",1
4425,28,"7",8
4426,28,"8",1
4427,28,"5",1
4428,29,"3",9
4429,29,"7",3
4430,30,"3",11
4431,30,"4",1
4432,30,"7",4
4433,31,"3",7
4434,31,"1",5
4435,31,"7",2
4436,32,"3",8
4437,32,"4",1
4438,32,"1",11
4439,32,"7",3
4440,32,"6",1
4441,33,"3",13
4442,33,"1",2
4443,33,"7",4
4444,34,"3",19
4445,34,"4",4
4446,34,"1",5
4447,35,"3",6
4448,35,"4",3
4449,35,"1",4
4450,35,"7",4
4451,36,"3",14
4452,36,"4",9
4453,36,"1",4
4454,36,"8",1
4455,37,"3",8
4456,38,"3",11
4457,38,"7",4
4458,39,"3",6
4459,39,"7",2
4460,39,"9",1
4461,40,"3",14
4462,40,"1",1
4463,40,"7",1
4464,40,"6",2
4465,41,"3",10
4466,41,"1",2
4467,41,"7",2
4468,41,"9",1
4469,42,"3",15
4470,42,"4",1
4471,42,"7",5
4472,43,"3",4
4473,43,"4",3
4474,43,"1",1
4475,44,"3",3
4476,45,"3",11
4477,46,"3",7
4478,46,"4",2
4479,46,"7",1
4480,47,"3",1
4481,47,"4",1
4482,47,"7",1
4483,48,"3",6
4484,49,"3",10
4485,50,"3",5
4486,50,"7",1
4487,51,"3",7
4488,51,"7",1
4489,52,"3",4
4490,52,"8",1
4491,53,"3",3
4492,54,"3",5
4493,54,"4",6
4494,55,"3",1
4495,57,"3",2
4496,57,"4",1
4497,57,"1",1
4498,58,"3",4
4499,58,"1",1
4500,58,"7",1
4501,59,"3",8
4502,60,"3",1
4503,61,"3",6
4504,61,"7",1
4505,62,"3",3
4506,62,"7",4
4507,63,"3",1
4508,63,"4",1
4509,63,"8",1
4510,64,"3",5
4511,65,"3",5
4512,65,"7",2
4513,66,"3",1
4514,67,"3",4
4515,67,"7",1
4516,68,"3",2
4517,69,"3",1
4518,69,"1",1
4519,69,"7",11
4520,70,"3",2
4521,70,"4",1
4522,71,"3",22
4523,71,"7",5
4524,71,"8",1
4525,72,"3",2
4526,72,"1",1
4527,72,"7",2
4528,73,"3",3
4529,73,"7",6
4530,74,"3",7
4531,74,"7",4
4532,74,"8",1
4533,74,"9",1
4534,75,"3",6
4535,75,"7",6
4536,76,"3",1
4537,76,"1",21
4538,76,"7",1
4539,77,"3",5
4540,77,"1",11
4541,77,"7",1
4542,78,"3",7
4543,78,"1",1
4544,78,"7",2
4545,78,"8",2
4546,79,"3",7
4547,79,"1",3
4548,79,"7",1
4549,80,"3",6
4550,80,"1",3
4551,80,"7",1
4552,80,"5",1
4553,81,"3",5
4554,81,"1",2
4555,82,"3",1
4556,82,"7",1
4557,83,"3",2
4558,83,"7",5
4559,84,"3",4
4560,85,"3",5
4561,86,"3",2
4562,86,"1",1
4563,87,"3",3
4564,87,"4",2
4565,87,"7",7
4566,87,"9",1
4567,88,"3",13
4568,89,"3",8
4569,89,"1",4
4570,89,"7",1
4571,90,"3",8
4572,90,"4",1
4573,90,"1",1
4574,90,"7",1
4575,91,"3",16
4576,91,"7",1
4577,92,"3",6
4578,92,"4",1
4579,92,"7",2
4580,93,"3",5
4581,94,"3",8
4582,94,"1",1
4583,94,"9",1
4584,95,"3",5
4585,95,"1",4
4586,96,"3",4
4587,96,"1",5
4588,97,"3",3
4589,97,"1",3
4590,97,"7",1
4591,98,"3",1
4592,98,"1",1
4593,99,"3",1
4594,99,"1",3
4595,100,"3",5
4596,101,"3",7
4597,101,"1",1
4598,102,"3",3
4599,102,"1",1
4600,103,"3",7
4601,103,"1",1
4602,103,"7",1
4603,104,"3",18
4604,106,"3",3
4605,106,"1",3
4606,106,"7",1
4607,106,"9",1
4608,107,"3",6
4609,107,"4",2
4610,107,"1",2
4611,107,"7",1
4612,108,"3",2
4613,108,"7",1
4614,109,"3",1
4615,109,"1",1
4616,110,"1",1
4617,110,"7",1
4618,111,"3",1
4619,113,"3",3
4620,113,"7",2
4621,114,"3",4
4622,114,"4",1
4623,114,"7",3
4624,114,"8",1
4625,115,"3",2
4626,115,"1",2
4627,115,"7",2
4628,115,"9",1
4629,116,"3",8
4630,117,"7",1
4631,118,"3",2
4632,118,"7",2
4633,119,"3",7
4634,119,"4",1
4635,119,"7",1
4636,120,"3",8
4637,120,"4",1
4638,120,"7",2
4639,121,"3",10
4640,121,"1",1
4641,121,"7",7
4642,121,"8",1
4643,122,"3",6
4644,122,"4",2
4645,122,"1",3
4646,122,"7",2
4647,123,"3",4
4648,124,"3",7
4649,124,"4",2
4650,124,"7",2
4651,125,"3",8
4652,125,"7",6
4653,126,"3",9
4654,126,"4",1
4655,126,"7",5
4656,127,"3",2
4657,127,"4",2
4658,127,"1",1
4659,127,"7",2
4660,128,"3",2
4661,128,"7",2
4662,129,"3",3
4663,129,"4",1
4664,129,"7",3
4665,130,"3",4
4666,130,"7",2
4667,130,"8",1
4668,131,"3",5
4669,131,"4",1
4670,131,"7",2
4671,131,"9",1
4672,132,"3",15
4673,132,"7",4
4674,132,"5",1
4675,133,"3",16
4676,133,"4",2
4677,133,"1",4
4678,133,"9",1
4679,134,"3",18
4680,134,"4",7
4681,134,"1",3
4682,134,"7",1
4683,135,"3",6
4684,135,"1",1
4685,136,"3",15
4686,136,"4",2
4687,136,"1",3
4688,136,"7",2
4689,137,"3",13
4690,137,"4",2
4691,137,"7",3
4692,138,"3",23
4693,138,"4",5
4694,138,"1",2
4695,138,"7",1
4696,138,"9",2
4697,139,"3",2
4698,139,"4",5
4699,139,"1",4
4700,140,"3",3
4701,140,"1",2
4702,140,"7",1
4703,141,"3",9
4704,141,"4",2
4705,141,"1",2
4706,142,"3",2
4707,142,"4",1
4708,142,"1",2
4709,142,"7",1
4710,142,"8",1
4711,143,"3",2
4712,143,"4",4
4713,143,"1",3
4714,143,"7",2
4715,143,"9",1
4716,144,"3",4
4717,144,"4",1
4718,144,"1",8
4719,144,"7",1
4720,145,"3",6
4721,145,"4",4
4722,145,"1",7
4723,146,"3",1
4724,146,"1",1
4725,147,"3",4
4726,147,"4",1
4727,147,"1",11
4728,147,"7",1
4729,148,"3",3
4730,148,"1",6
4731,149,"3",2
4732,149,"4",1
4733,149,"1",7
4734,150,"3",9
4735,151,"3",6
4736,151,"4",2
4737,152,"3",5
4738,152,"4",5
4739,153,"3",8
4740,153,"1",1
4741,153,"7",1
4742,154,"3",6
4743,155,"1",1
4744,156,"3",4
4745,156,"4",1
4746,157,"3",1
4747,159,"3",1
4748,160,"3",1
4749,161,"3",4
4750,161,"4",1
4751,162,"3",1
4752,162,"4",1
4753,163,"3",8
4754,163,"4",1
4755,163,"7",3
4756,164,"3",3
4757,165,"3",8
4758,165,"4",1
4759,166,"3",6
4760,167,"3",4
4761,167,"9",1
4762,169,"3",3
4763,169,"7",1
4764,170,"3",15
4765,170,"4",2
4766,170,"7",8
4767,171,"3",1
4768,171,"4",7
4769,173,"3",4
4770,173,"4",8
4771,173,"7",10
4772,174,"3",5
4773,174,"4",6
4774,174,"7",1
4775,174,"8",1
4776,175,"3",4
4777,175,"4",3
4778,175,"7",2
4779,176,"4",1
4780,176,"7",1
4781,177,"4",5
4782,177,"1",1
4783,177,"7",1
4784,178,"3",2
4785,178,"4",1
4786,178,"7",2
4787,178,"9",1
4788,180,"3",1
4789,180,"4",1
4790,180,"7",2
4791,181,"3",3
4792,181,"4",5
4793,181,"1",3
4794,181,"7",1
4795,182,"3",2
4796,182,"4",3
4797,182,"1",1
4798,182,"7",1
4799,182,"9",1
4800,183,"3",2
4801,183,"4",2
4802,183,"1",4
4803,184,"3",12
4804,184,"4",1
4805,184,"1",13
4806,184,"7",2
4807,185,"3",5
4808,185,"1",1
4809,185,"7",1
4810,186,"3",6
4811,186,"4",4
4812,187,"3",9
4813,187,"4",1
4814,187,"1",3
4815,188,"3",7
4816,188,"4",10
4817,188,"1",5
4818,188,"8",1
4819,189,"3",10
4820,189,"4",8
4821,189,"7",1
4822,189,"9",1
4823,190,"3",4
4824,190,"4",3
4825,190,"1",4
4826,191,"3",9
4827,191,"4",15
4828,191,"7",2
4829,191,"9",1
4830,192,"3",13
4831,192,"4",4
4832,192,"1",5
4833,193,"3",4
4834,193,"4",5
4835,193,"8",1
4836,194,"3",22
4837,194,"4",2
4838,194,"7",2
4839,194,"8",1
4840,195,"3",7
4841,195,"4",3
4842,195,"1",1
4843,195,"7",4
4844,196,"3",6
4845,196,"4",1
4846,196,"1",1
4847,197,"3",1
4848,197,"4",1
4849,197,"1",1
4850,198,"3",2
4851,198,"4",4
4852,198,"1",2
4853,199,"3",3
4854,199,"4",1
4855,199,"7",1
4856,200,"3",2
4857,200,"1",1
4858,201,"3",3
4859,201,"4",1
4860,201,"1",1
4861,202,"3",2
4862,202,"4",3
4863,202,"1",1
4864,203,"3",4
4865,203,"4",3
4866,203,"1",3
4867,204,"3",5
4868,204,"4",1
4869,204,"7",1
4870,205,"3",8
4871,205,"4",2
4872,207,"3",2
4873,207,"4",2
4874,209,"3",1
4875,209,"4",1
4876,211,"3",3
4877,211,"4",4
4878,212,"3",1
4879,213,"4",1
4880,214,"7",1
4881,215,"3",1
4882,216,"7",1
4883,217,"3",4
4884,217,"7",1
4885,218,"3",1
4886,218,"4",2
4887,218,"1",1
4888,219,"3",6
4889,219,"7",2
4890,220,"3",2
4891,220,"4",2
4892,220,"7",3
4893,221,"3",2
4894,221,"4",1
4895,221,"1",1
4896,221,"7",1
4897,222,"4",1
4898,222,"7",2
4899,223,"3",3
4900,223,"1",1
4901,223,"7",2
4902,224,"4",3
4903,224,"1",1
4904,224,"7",3
4905,225,"3",1
4906,225,"1",2
4907,226,"1",1
4908,226,"7",1
4909,227,"3",3
4910,227,"4",7
4911,227,"1",2
4912,227,"8",2
4913,228,"3",2
4914,228,"4",2
4915,228,"7",1
4916,228,"8",1
4917,229,"3",1
4918,229,"4",2
4919,229,"7",4
4920,230,"3",1
4921,230,"4",3
4922,230,"7",1
4923,231,"4",13
4924,231,"7",8
4925,231,"9",1
4926,232,"3",4
4927,232,"4",3
4928,232,"7",7
4929,233,"3",9
4930,233,"7",9
4931,234,"3",4
4932,234,"1",32
4933,234,"6",1
4934,235,"3",6
4935,235,"1",1
4936,235,"7",3
4937,236,"3",1
4938,237,"3",4
4939,237,"4",4
4940,237,"1",4
4941,237,"7",1
4942,237,"8",2
4943,238,"3",1
4944,238,"4",3
4945,238,"1",5
4946,238,"6",1
4947,238,"10",1
4948,239,"3",1
4949,239,"4",19
4950,239,"1",13
4951,240,"3",7
4952,240,"7",4
4953,240,"8",1
4954,240,"5",1
4955,241,"3",38
4956,241,"7",3
4957,242,"3",11
4958,242,"4",9
4959,242,"1",1
4960,242,"7",2
4961,243,"3",8
4962,243,"4",10
4963,243,"1",1
4964,243,"7",1
4965,244,"3",11
4966,244,"4",22
4967,244,"1",4
4968,244,"7",1
4969,244,"9",1
4970,245,"3",14
4971,245,"4",6
4972,245,"1",1
4973,246,"3",17
4974,246,"4",7
4975,246,"1",2
4976,246,"7",4
4977,247,"3",10
4978,247,"4",6
4979,247,"7",2
4980,248,"3",11
4981,248,"1",1
4982,249,"3",6
4983,250,"3",6
4984,250,"4",3
4985,250,"5",1
4986,251,"3",4
4987,251,"4",7
4988,252,"3",3
4989,252,"4",1
4990,252,"7",1
4991,253,"3",5
4992,253,"4",3
4993,253,"1",1
4994,254,"3",5
4995,254,"4",3
4996,254,"1",6
4997,254,"7",1
4998,255,"3",2
4999,255,"4",3
5000,255,"1",3
5001,255,"7",1
5002,256,"3",2
5003,256,"1",1
5004,257,"3",5
5005,257,"4",2
5006,258,"3",2
5007,258,"1",2
5008,259,"4",3
5009,259,"1",3
5010,260,"3",7
5011,260,"7",1
5012,261,"3",8
5013,261,"4",3
5014,261,"7",2
5015,262,"3",3
5016,262,"4",1
5017,262,"7",3
5018,263,"3",6
5019,263,"4",2
5020,263,"7",1
5021,264,"3",3
5022,264,"7",2
5023,265,"3",3
5024,265,"4",4
5025,265,"7",1
5026,266,"3",1
5027,266,"1",1
5028,267,"3",1
5029,267,"1",2
5030,268,"3",3
5031,270,"3",2
5032,270,"4",1
5033,270,"1",1
5034,271,"3",1
5035,271,"7",2
5036,272,"4",2
5037,272,"7",1
5038,273,"3",7
5039,273,"7",2
5040,274,"3",23
5041,274,"4",5
5042,275,"3",5
5043,275,"1",3
5044,275,"7",3
5045,275,"5",2
5046,275,"6",1
5047,276,"3",17
5048,276,"7",2
5049,277,"3",4
5050,277,"4",4
5051,277,"7",3
5052,278,"3",9
5053,278,"4",7
5054,279,"3",1
5055,279,"4",3
5056,279,"7",1
5057,280,"3",2
5058,280,"4",5
5059,280,"1",1
5060,280,"7",1
5061,280,"6",1
5062,281,"3",7
5063,281,"4",2
5064,281,"7",1
5065,282,"3",3
5066,282,"4",3
5067,282,"7",2
5068,283,"3",1
5069,283,"1",1
5070,283,"7",1
5071,284,"3",1
5072,284,"4",1
5073,284,"1",2
5074,284,"7",1
5075,285,"3",3
5076,287,"1",1
5077,288,"3",13
5078,288,"10",1
5079,289,"1",1
5080,290,"3",1
5081,290,"4",1
5082,291,"3",22
5083,291,"4",2
5084,291,"1",2
5085,292,"3",6
5086,292,"4",6
5087,292,"1",1
5088,292,"7",1
5089,292,"5",3
5090,293,"3",4
5091,293,"7",6
5092,293,"8",1
5093,294,"3",20
5094,294,"7",2
5095,295,"3",12
5096,295,"4",5
5097,295,"1",1
5098,296,"3",3
5099,296,"4",5
5100,297,"3",3
5101,297,"4",5
5102,298,"3",1
5103,298,"1",2
5104,299,"3",8
5105,299,"4",2
5106,300,"3",1
5107,300,"4",4
5108,300,"1",13
5109,300,"7",1
5110,301,"1",5
5111,303,"3",1
5112,303,"4",1
5113,303,"1",7
5114,304,"3",19
5115,304,"1",4
5116,305,"4",1
5117,305,"1",3
5118,306,"3",4
5119,306,"1",3
5120,307,"4",3
5121,308,"3",2
5122,310,"3",1
5123,311,"3",4
5124,314,"3",4
5125,315,"3",2
5126,315,"4",5
5127,316,"3",4
5128,317,"3",2
5129,318,"3",2
5130,320,"3",5
5131,320,"4",1
5132,321,"3",1
5133,322,"3",7
5134,323,"3",1
5135,323,"7",1
5136,324,"3",4
5137,324,"7",1
5138,325,"3",16
5139,325,"4",1
5140,326,"3",1
5141,326,"7",2
5142,327,"3",3
5143,327,"7",1
5144,328,"3",1
5145,329,"3",2
5146,330,"3",1
5147,330,"4",3
5148,330,"1",1
5149,330,"7",1
5150,331,"3",1
5151,332,"3",1
5152,333,"3",2
5153,334,"3",8
5154,334,"1",1
5155,336,"3",6
5156,336,"4",1
5157,336,"7",1
5158,338,"3",12
5159,338,"7",3
5160,339,"3",7
5161,339,"7",7
5162,340,"3",19
5163,340,"4",7
5164,340,"1",3
5165,340,"7",2
5166,341,"3",5
5167,341,"1",1
5168,341,"7",3
5169,342,"3",7
5170,342,"4",1
5171,342,"7",2
5172,342,"8",1
5173,343,"3",11
5174,343,"7",3
5175,344,"3",5
5176,344,"7",2
5177,345,"3",3
5178,345,"4",7
5179,345,"1",3
5180,345,"7",1
5181,345,"8",1
5182,345,"9",1
5183,346,"3",3
5184,346,"4",2
5185,346,"7",4
5186,348,"4",1
5187,348,"7",1
5188,349,"3",13
5189,349,"7",4
5190,350,"3",11
5191,350,"4",2
5192,350,"7",5
5193,351,"3",29
5194,351,"7",4
5195,352,"4",10
5196,352,"1",4
5197,352,"7",4
5198,352,"8",1
5199,353,"3",7
5200,353,"4",1
5201,353,"1",15
5202,354,"3",5
5203,354,"4",6
5204,354,"1",2
5205,355,"3",2
5206,355,"4",4
5207,355,"1",6
5208,356,"3",22
5209,356,"1",1
5210,357,"3",8
5211,357,"1",1
5212,358,"3",16
5213,358,"1",3
5214,358,"7",2
5215,359,"3",26
5216,360,"3",20
5217,360,"4",6
5218,360,"1",3
5219,361,"3",8
5220,361,"4",7
5221,362,"3",11
5222,362,"4",20
5223,362,"1",1
5224,363,"3",3
5225,363,"4",1
5226,363,"1",4
5227,364,"3",21
5228,364,"4",2
5229,365,"3",9
5230,366,"3",5
5231,366,"4",6
5232,367,"3",1
5233,368,"3",5
5234,369,"3",5
5235,370,"3",6
5236,370,"1",1
5237,370,"7",1
5238,371,"3",1
5239,371,"4",2
5240,371,"1",8
5241,372,"3",2
5242,372,"1",1
5243,373,"3",3
5244,374,"3",2
5245,375,"3",3
5246,377,"3",3
5247,377,"4",3
5248,378,"3",3
5249,379,"3",1
5250,380,"3",1
5251,380,"1",1
5252,380,"7",1
5253,382,"3",10
5254,382,"7",2
5255,383,"3",1
5256,384,"3",2
5257,384,"4",2
5258,385,"3",3
5259,386,"3",11
5260,387,"3",2
5261,388,"3",16
5262,388,"1",1
5263,388,"7",4
5264,389,"3",40
5265,389,"7",4
5266,390,"3",7
5267,390,"4",5
5268,390,"1",1
5269,390,"7",3
5270,391,"3",5
5271,391,"4",5
5272,392,"3",5
5273,392,"4",5
5274,392,"1",3
5275,392,"7",3
5276,393,"3",2
5277,393,"4",4
5278,393,"7",3
5279,394,"3",8
5280,394,"4",3
5281,394,"1",2
5282,394,"7",13
5283,395,"4",4
5284,395,"1",1
5285,395,"7",5
5286,396,"3",5
5287,396,"1",3
5288,396,"7",8
5289,397,"3",3
5290,397,"4",6
5291,397,"1",2
5292,397,"7",3
5293,397,"8",1
5294,398,"3",13
5295,398,"4",8
5296,398,"7",2
5297,398,"9",1
5298,399,"3",5
5299,399,"4",3
5300,399,"1",2
5301,399,"7",6
5302,400,"3",2
5303,400,"4",1
5304,400,"1",22
5305,401,"3",6
5306,401,"4",1
5307,401,"7",3
5308,402,"3",13
5309,402,"4",3
5310,402,"1",5
5311,402,"7",1
5312,403,"3",10
5313,403,"1",1
5314,403,"6",1
5315,404,"3",5
5316,404,"4",4
5317,404,"5",1
5318,405,"3",8
5319,405,"4",5
5320,405,"1",1
5321,406,"3",7
5322,407,"3",8
5323,407,"4",4
5324,407,"1",1
5325,408,"3",3
5326,408,"4",3
5327,408,"1",4
5328,409,"3",12
5329,409,"4",2
5330,409,"7",4
5331,410,"3",10
5332,410,"4",1
5333,410,"1",2
5334,411,"3",3
5335,411,"1",1
5336,411,"7",1
5337,412,"3",5
5338,412,"1",3
5339,412,"7",1
5340,413,"3",4
5341,413,"7",1
5342,414,"3",13
5343,414,"4",5
5344,415,"3",12
5345,415,"4",4
5346,415,"9",2
5347,416,"3",2
5348,416,"1",1
5349,417,"3",6
5350,417,"4",5
5351,417,"1",1
5352,417,"7",1
5353,418,"3",22
5354,418,"4",1
5355,418,"7",1
5356,419,"3",9
5357,419,"4",4
5358,419,"1",5
5359,420,"3",7
5360,420,"4",1
5361,420,"1",2
5362,420,"7",2
5363,420,"8",1
5364,421,"3",6
5365,421,"1",2
5366,422,"3",10
5367,422,"7",2
5368,423,"3",4
5369,423,"7",7
5370,424,"3",5
5371,424,"4",6
5372,424,"7",3
5373,425,"3",5
5374,425,"4",4
5375,425,"7",7
5376,426,"3",6
5377,426,"4",3
5378,426,"7",7
5379,426,"9",1
5380,427,"3",3
5381,428,"3",7
5382,428,"1",1
5383,429,"3",6
5384,429,"4",1
5385,429,"1",1
5386,429,"9",1
5387,430,"3",10
5388,430,"4",3
5389,430,"7",1
5390,431,"3",5
5391,431,"4",4
5392,431,"1",2
5393,431,"7",4
5394,432,"3",9
5395,432,"7",8
5396,432,"8",2
5397,433,"3",5
5398,433,"4",1
5399,433,"7",7
